[2025-05-01T01:40:10.905Z] [INFO] Server is running on port 8080 
[2025-05-01T01:40:11.429Z] [INFO] MongoDB connected successfully 
[2025-05-01T01:40:12.085Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:40:12.166Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:40:12.210Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:40:12.254Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:40:16.375Z] [INFO] Requested daily challenge: /dates 
[2025-05-01T01:40:16.412Z] [INFO] Requested daily challenge: /dates 
[2025-05-01T01:40:28.363Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:40:28.451Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:40:28.512Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:40:28.553Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:41:40.488Z] [INFO] Requested daily challenge: /dates 
[2025-05-01T01:41:40.544Z] [INFO] Requested daily challenge: /dates 
[2025-05-01T01:41:41.810Z] [INFO] Requested daily challenge: /date/2025-04-16 
[2025-05-01T01:41:41.893Z] [INFO] Requested daily challenge: /date/2025-04-16 
[2025-05-01T01:41:41.932Z] [INFO] Requested daily challenge: /date/2025-04-16 
[2025-05-01T01:41:41.986Z] [INFO] Requested daily challenge: /date/2025-04-16 
[2025-05-01T01:56:32.813Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:56:32.922Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:56:32.957Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:56:32.997Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:57:35.581Z] [INFO] Requested daily challenge: /dates 
[2025-05-01T01:57:35.631Z] [INFO] Requested daily challenge: /dates 
[2025-05-01T01:57:37.116Z] [INFO] Requested daily challenge: /date/2025-04-15 
[2025-05-01T01:57:37.203Z] [INFO] Requested daily challenge: /date/2025-04-15 
[2025-05-01T01:57:37.242Z] [INFO] Requested daily challenge: /date/2025-04-15 
[2025-05-01T01:57:37.279Z] [INFO] Requested daily challenge: /date/2025-04-15 
[2025-05-01T01:58:05.883Z] [INFO] Requested daily challenge: /dates 
[2025-05-01T01:58:05.937Z] [INFO] Requested daily challenge: /dates 
[2025-05-01T01:58:06.884Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:58:06.952Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:58:06.990Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:58:07.027Z] [INFO] Requested daily challenge: /date/2025-04-30 
[2025-05-01T01:58:27.137Z] [INFO] Requested daily challenge: /submit 
[2025-05-01T01:58:27.148Z] [INFO] [Submit Received Validated] IP: 127.0.0.1, UA: "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36", Score: 2745, Date: 2025-04-30 
[2025-05-01T01:58:27.148Z] [INFO] [Submit] Processing for specific date 2025-04-30 (UTC) 
[2025-05-01T01:58:27.374Z] [INFO] [Submit DB Update] Challenge ID: 6811a005f22b7769eb1fe128, About to update distribution for score: 2745 
[2025-05-01T01:58:27.459Z] [INFO] [Submit] Recalculating average score for challenge 6811a005f22b7769eb1fe128. 
[2025-05-01T01:58:27.491Z] [INFO] [Submit] Saved updated average score (3674.0835734870316) for challenge 6811a005f22b7769eb1fe128. 
[2025-05-01T01:58:27.492Z] [INFO] [Submit Response] Sending response for IP: 127.0.0.1, Score: 2745 
[2025-05-01T01:59:44.787Z] [INFO] Requested daily challenge: /dates 
[2025-05-01T01:59:44.833Z] [INFO] Requested daily challenge: /dates 
[2025-05-01T01:59:47.302Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T01:59:47.391Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T01:59:47.431Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T01:59:47.484Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:00:04.615Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:02:25.478Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:02:25.581Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:02:25.677Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:02:25.830Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:02:25.930Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:02:26.044Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:02:26.103Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:02:26.146Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:02:26.186Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:02:26.227Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:06:34.427Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:06:34.468Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:06:34.789Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:06:34.795Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:06:34.881Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:06:34.887Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:06:34.931Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:06:56.306Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:06:56.332Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:06:56.561Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:06:56.572Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:06:56.687Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:06:56.742Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:07:04.438Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:07:04.450Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:07:04.611Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:07:04.670Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:07:04.716Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:07:04.731Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:07:04.765Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:07:17.152Z] [INFO] Requested daily challenge: /date/2025-04-24 
[2025-05-01T02:07:17.155Z] [INFO] Requested daily challenge: /stats?date=2025-04-24 
[2025-05-01T02:07:17.227Z] [INFO] Requested daily challenge: /date/2025-04-24 
